source_id,robot_id,related_entity_type,related_entity_id,source_type,source_name,source_url,information_type,retrieved_date,verification_status,notes
SRC-0001,ROBOT-0001,robot,ROBOT-0001,robot_database,ui44 Companions,https://ui44.com/categories/companions,identity,2026-08-11,UNVERIFIED,IMPORTED from candidate_id=CAND-0001
SRC-0002,ROBOT-0002,robot,ROBOT-0002,robot_database,ui44 Companions,https://ui44.com/categories/companions,identity,2026-08-11,UNVERIFIED,IMPORTED from candidate_id=CAND-0002
SRC-0003,ROBOT-0003,robot,ROBOT-0003,robot_database,ui44 Companions,https://ui44.com/categories/companions,identity,2026-08-11,UNVERIFIED,IMPORTED from candidate_id=CAND-0003
SRC-0004,ROBOT-0004,robot,ROBOT-0004,robot_database,ui44 Companions,https://ui44.com/categories/companions,identity,2026-08-11,UNVERIFIED,IMPORTED from candidate_id=CAND-0004
SRC-0005,ROBOT-0005,robot,ROBOT-0005,robot_database,ui44 Companions,https://ui44.com/categories/companions,identity,2026-08-11,UNVERIFIED,IMPORTED from candidate_id=CAND-0005
SRC-0006,ROBOT-0006,robot,ROBOT-0006,robot_database,ui44 Companions,https://ui44.com/categories/companions,identity,2026-08-11,UNVERIFIED,IMPORTED from candidate_id=CAND-0006
SRC-0007,ROBOT-0007,robot,ROBOT-0007,robot_database,ui44 Companions,https://ui44.com/categories/companions,identity,2026-08-11,UNVERIFIED,IMPORTED from candidate_id=CAND-0007
SRC-0008,ROBOT-0008,robot,ROBOT-0008,robot_database,ui44 Companions,https://ui44.com/categories/companions,identity,2026-08-11,UNVERIFIED,IMPORTED from candidate_id=CAND-0008
SRC-0009,ROBOT-0009,robot,ROBOT-0009,robot_database,ui44 Companions,https://ui44.com/categories/companions,identity,2026-08-11,UNVERIFIED,IMPORTED from candidate_id=CAND-0010
SRC-0010,ROBOT-0010,robot,ROBOT-0010,robot_database,ui44 Companions,https://ui44.com/categories/companions,identity,2026-08-11,UNVERIFIED,IMPORTED from candidate_id=CAND-0011
SRC-0011,ROBOT-0011,robot,ROBOT-0011,robot_database,ui44 Companions,https://ui44.com/categories/companions,identity,2026-08-11,UNVERIFIED,IMPORTED from candidate_id=CAND-0012
SRC-0012,ROBOT-0012,robot,ROBOT-0012,robot_database,ui44 Companions,https://ui44.com/categories/companions,identity,2026-08-11,UNVERIFIED,IMPORTED from candidate_id=CAND-0013
SRC-0013,ROBOT-0013,robot,ROBOT-0013,robot_database,ui44 Companions,https://ui44.com/categories/companions,identity,2026-08-11,UNVERIFIED,IMPORTED from candidate_id=CAND-0014
SRC-0014,ROBOT-0014,robot,ROBOT-0014,robot_database,ui44 Companions,https://ui44.com/categories/companions,identity,2026-08-11,UNVERIFIED,IMPORTED from candidate_id=CAND-0015
SRC-0015,ROBOT-0015,robot,ROBOT-0015,robot_database,ui44 Companions,https://ui44.com/categories/companions,identity,2026-08-11,UNVERIFIED,IMPORTED from candidate_id=CAND-0016
SRC-0016,ROBOT-0016,robot,ROBOT-0016,robot_database,ui44 Companions,https://ui44.com/categories/companions,identity,2026-08-11,UNVERIFIED,IMPORTED from candidate_id=CAND-0017
SRC-0017,ROBOT-0017,robot,ROBOT-0017,robot_database,ui44 Companions,https://ui44.com/categories/companions,identity,2026-08-11,UNVERIFIED,IMPORTED from candidate_id=CAND-0018
SRC-0018,ROBOT-0018,robot,ROBOT-0018,robot_database,ui44 Companions,https://ui44.com/categories/companions,identity,2026-08-11,UNVERIFIED,IMPORTED from candidate_id=CAND-0019
SRC-0019,ROBOT-0019,robot,ROBOT-0019,robot_database,ui44 Companions,https://ui44.com/categories/companions,identity,2026-08-11,UNVERIFIED,IMPORTED from candidate_id=CAND-0020
SRC-0020,ROBOT-0020,robot,ROBOT-0020,robot_database,ui44 Companions,https://ui44.com/categories/companions,identity,2026-08-11,UNVERIFIED,IMPORTED from candidate_id=CAND-0021
SRC-0021,ROBOT-0021,robot,ROBOT-0021,robot_database,ui44 Companions,https://ui44.com/categories/companions,identity,2026-08-11,UNVERIFIED,IMPORTED from candidate_id=CAND-0022
SRC-0022,ROBOT-0022,robot,ROBOT-0022,robot_database,ui44 Companions,https://ui44.com/categories/companions,identity,2026-08-11,UNVERIFIED,IMPORTED from candidate_id=CAND-0023
SRC-0023,ROBOT-0023,robot,ROBOT-0023,robot_database,ui44 Companions,https://ui44.com/categories/companions,identity,2026-08-11,UNVERIFIED,IMPORTED from candidate_id=CAND-0024
SRC-0024,ROBOT-0024,robot,ROBOT-0024,robot_database,ui44 Companions,https://ui44.com/categories/companions,identity,2026-08-11,UNVERIFIED,IMPORTED from candidate_id=CAND-0025
SRC-0025,ROBOT-0025,robot,ROBOT-0025,robot_database,ui44 Companions,https://ui44.com/categories/companions,identity,2026-08-11,UNVERIFIED,IMPORTED from candidate_id=CAND-0026
SRC-0026,ROBOT-0026,robot,ROBOT-0026,robot_database,ui44 Companions,https://ui44.com/categories/companions,identity,2026-08-11,UNVERIFIED,IMPORTED from candidate_id=CAND-0027
SRC-0027,ROBOT-0027,robot,ROBOT-0027,robot_database,ui44 Companions,https://ui44.com/categories/companions,identity,2026-08-11,UNVERIFIED,IMPORTED from candidate_id=CAND-0028
SRC-0028,ROBOT-0028,robot,ROBOT-0028,robot_database,ui44 Companions,https://ui44.com/categories/companions,identity,2026-08-11,UNVERIFIED,IMPORTED from candidate_id=CAND-0030
SRC-0029,ROBOT-0029,robot,ROBOT-0029,robot_database,ui44 Companions,https://ui44.com/categories/companions,identity,2026-08-11,UNVERIFIED,IMPORTED from candidate_id=CAND-0031
SRC-0030,ROBOT-0030,robot,ROBOT-0030,robot_database,ui44 Companions,https://ui44.com/categories/companions,identity,2026-08-11,UNVERIFIED,IMPORTED from candidate_id=CAND-0032
SRC-0031,ROBOT-0031,robot,ROBOT-0031,robot_database,ui44 Companions,https://ui44.com/categories/companions,identity,2026-08-11,UNVERIFIED,IMPORTED from candidate_id=CAND-0033
SRC-0032,ROBOT-0032,robot,ROBOT-0032,robot_database,ui44 Companions,https://ui44.com/categories/companions,identity,2026-08-11,UNVERIFIED,IMPORTED from candidate_id=CAND-0034
SRC-0033,ROBOT-0033,robot,ROBOT-0033,robot_database,ui44 Companions,https://ui44.com/categories/companions,identity,2026-08-11,UNVERIFIED,IMPORTED from candidate_id=CAND-0035
SRC-0034,ROBOT-0034,robot,ROBOT-0034,robot_database,ui44 Companions,https://ui44.com/categories/companions,identity,2026-08-11,UNVERIFIED,IMPORTED from candidate_id=CAND-0036
SRC-0035,ROBOT-0035,robot,ROBOT-0035,robot_database,ui44 Companions,https://ui44.com/categories/companions,identity,2026-08-11,UNVERIFIED,IMPORTED from candidate_id=CAND-0037
SRC-0036,ROBOT-0036,robot,ROBOT-0036,robot_database,ui44 Companions,https://ui44.com/categories/companions,identity,2026-08-11,UNVERIFIED,IMPORTED from candidate_id=CAND-0039
SRC-0037,ROBOT-0037,robot,ROBOT-0037,robot_database,ui44 Companions,https://ui44.com/categories/companions,identity,2026-08-11,UNVERIFIED,IMPORTED from candidate_id=CAND-0041
SRC-0038,ROBOT-0038,robot,ROBOT-0038,robot_database,ui44 Companions,https://ui44.com/categories/companions,identity,2026-08-11,UNVERIFIED,IMPORTED from candidate_id=CAND-0043
SRC-0039,ROBOT-0039,robot,ROBOT-0039,robot_database,ui44 Companions,https://ui44.com/categories/companions,identity,2026-08-11,UNVERIFIED,IMPORTED from candidate_id=CAND-0044
SRC-0040,ROBOT-0040,robot,ROBOT-0040,robot_database,ui44 Companions,https://ui44.com/categories/companions,identity,2026-08-11,UNVERIFIED,IMPORTED from candidate_id=CAND-0045
SRC-0041,ROBOT-0041,robot,ROBOT-0041,robot_database,ui44 Companions,https://ui44.com/categories/companions,identity,2026-08-11,UNVERIFIED,IMPORTED from candidate_id=CAND-0046
SRC-0042,ROBOT-0042,robot,ROBOT-0042,robot_database,ui44 Companions,https://ui44.com/categories/companions,identity,2026-08-11,UNVERIFIED,IMPORTED from candidate_id=CAND-0047
SRC-0043,ROBOT-0043,robot,ROBOT-0043,robot_database,ui44 Companions,https://ui44.com/categories/companions,identity,2026-08-11,UNVERIFIED,IMPORTED from candidate_id=CAND-0048
SRC-0044,ROBOT-0044,robot,ROBOT-0044,robot_database,ui44 Companions,https://ui44.com/categories/companions,identity,2026-08-11,UNVERIFIED,IMPORTED from candidate_id=CAND-0049
SRC-0045,ROBOT-0045,robot,ROBOT-0045,robot_database,ui44 Companions,https://ui44.com/categories/companions,identity,2026-08-11,UNVERIFIED,IMPORTED from candidate_id=CAND-0050
SRC-0046,ROBOT-0046,robot,ROBOT-0046,robot_database,ui44 Companions,https://ui44.com/categories/companions,identity,2026-08-11,UNVERIFIED,IMPORTED from candidate_id=CAND-0051
SRC-0047,ROBOT-0047,robot,ROBOT-0047,robot_database,ui44 Companions,https://ui44.com/categories/companions,identity,2026-08-11,UNVERIFIED,IMPORTED from candidate_id=CAND-0052
SRC-0048,ROBOT-0048,robot,ROBOT-0048,robot_database,ui44 Companions,https://ui44.com/categories/companions,identity,2026-08-11,UNVERIFIED,IMPORTED from candidate_id=CAND-0053
SRC-0049,ROBOT-0001,robot,ROBOT-0001,official_product,Official product page,http://www.parorobots.com/,identity,2026-08-11,PARTIALLY_VERIFIED,VERIFIED official product/announcement page.
SRC-0050,ROBOT-0001,robot,ROBOT-0001,official_spec,Official spec/manual page,http://www.parorobots.com/,spec,2026-08-11,PARTIALLY_VERIFIED,VERIFIED official technical/details page.
SRC-0051,ROBOT-0002,robot,ROBOT-0002,official_product,Official product page,https://andromedarobotics.ai/product,identity,2026-08-11,PARTIALLY_VERIFIED,VERIFIED official product/announcement page.
SRC-0052,ROBOT-0002,robot,ROBOT-0002,official_spec,Official spec/manual page,https://andromedarobotics.ai/product,spec,2026-08-11,PARTIALLY_VERIFIED,VERIFIED official technical/details page.
SRC-0053,ROBOT-0003,robot,ROBOT-0003,official_product,Official product page,https://press.asus.com/news/press-releases/asus-computex-2026-agentic-ai-robots-kairo-maestro/,identity,2026-08-11,PARTIALLY_VERIFIED,VERIFIED official product/announcement page.
SRC-0054,ROBOT-0003,robot,ROBOT-0003,official_spec,Official spec/manual page,https://www.asus.com/us/business/resources/news/computex-2026-agentic-ai-ready-robots/,spec,2026-08-11,PARTIALLY_VERIFIED,VERIFIED official technical/details page.
SRC-0055,ROBOT-0004,robot,ROBOT-0004,official_product,Official product page,https://www.casio.com/us/moflin/,identity,2026-08-11,PARTIALLY_VERIFIED,VERIFIED official product/announcement page.
SRC-0056,ROBOT-0004,robot,ROBOT-0004,official_manual,Official spec/manual page,https://support.casio.com/global/en/moflin/manual/PE-M10_en/JEAWSYrfzullak.html,spec,2026-08-11,PARTIALLY_VERIFIED,VERIFIED official technical/details page.
SRC-0057,ROBOT-0005,robot,ROBOT-0005,official_product,Official product page,https://www.ecovacs.com/us/famibot-ai-companion-robot,identity,2026-08-11,PARTIALLY_VERIFIED,VERIFIED official product/announcement page.
SRC-0058,ROBOT-0005,robot,ROBOT-0005,official_spec,Official spec/manual page,https://www.ecovacs.com/us/shop/famibot-ai-companion-robot/lilmilo-white,spec,2026-08-11,PARTIALLY_VERIFIED,VERIFIED official technical/details page.
SRC-0059,ROBOT-0006,robot,ROBOT-0006,official_product,Official product page,https://store.enabot.com/products/ebo-x-familybot,identity,2026-08-11,PARTIALLY_VERIFIED,VERIFIED official product/announcement page.
SRC-0060,ROBOT-0006,robot,ROBOT-0006,official_spec,Official spec/manual page,https://store.enabot.com/products/ebo-x-familybot,spec,2026-08-11,PARTIALLY_VERIFIED,VERIFIED official technical/details page.
SRC-0061,ROBOT-0007,robot,ROBOT-0007,official_product,Official product page,https://store.enabot.com/products/ebo-max-familybot,identity,2026-08-11,PARTIALLY_VERIFIED,VERIFIED official product/announcement page.
SRC-0062,ROBOT-0007,robot,ROBOT-0007,official_spec,Official spec/manual page,https://store.enabot.com/products/ebo-max-familybot,spec,2026-08-11,PARTIALLY_VERIFIED,VERIFIED official technical/details page.
SRC-0063,ROBOT-0008,robot,ROBOT-0008,official_product,Official product page,https://store.enabot.com/products/ebo-mini-sport-familybot,identity,2026-08-11,PARTIALLY_VERIFIED,VERIFIED official product/announcement page.
SRC-0064,ROBOT-0008,robot,ROBOT-0008,official_spec,Official spec/manual page,https://store.enabot.com/products/ebo-mini-sport-familybot,spec,2026-08-11,PARTIALLY_VERIFIED,VERIFIED official technical/details page.
SRC-0065,ROBOT-0009,robot,ROBOT-0009,official_product,Official product page,https://gogobot.io/,identity,2026-08-11,PARTIALLY_VERIFIED,VERIFIED official product/announcement page.
SRC-0066,ROBOT-0009,robot,ROBOT-0009,official_spec,Official spec/manual page,https://gogobot.io/pages/help-center,spec,2026-08-11,PARTIALLY_VERIFIED,VERIFIED official technical/details page.
SRC-0067,ROBOT-0010,robot,ROBOT-0010,official_product,Official product page,https://lovot.life/en/,identity,2026-08-11,PARTIALLY_VERIFIED,VERIFIED official product/announcement page.
SRC-0068,ROBOT-0010,robot,ROBOT-0010,official_spec,Official spec/manual page,http://lovot.life/en/technology/,spec,2026-08-11,PARTIALLY_VERIFIED,VERIFIED official technical/details page.
SRC-0069,ROBOT-0011,robot,ROBOT-0011,official_product,Official product/company page,https://hugbibi.com/,identity,2026-08-11,PARTIALLY_VERIFIED,VERIFIED official source for identity/product info.
SRC-0070,ROBOT-0011,robot,ROBOT-0011,official_spec,Official details/spec source,https://hugbibi.com/,spec,2026-08-11,PARTIALLY_VERIFIED,VERIFIED official details/spec page available at this stage.
SRC-0071,ROBOT-0012,robot,ROBOT-0012,official_product,Official product/company page,https://insbotics.com/,identity,2026-08-11,PARTIALLY_VERIFIED,VERIFIED official source for identity/product info.
SRC-0072,ROBOT-0012,robot,ROBOT-0012,official_spec,Official details/spec source,https://insbotics.com/,spec,2026-08-11,PARTIALLY_VERIFIED,VERIFIED official details/spec page available at this stage.
SRC-0073,ROBOT-0013,robot,ROBOT-0013,official_product,Official product/company page,https://www.elliq.com/,identity,2026-08-11,PARTIALLY_VERIFIED,VERIFIED official source for identity/product info.
SRC-0074,ROBOT-0013,robot,ROBOT-0013,official_spec,Official details/spec source,https://www.intuitionrobotics.com/post/new-year-new-elliq,spec,2026-08-11,PARTIALLY_VERIFIED,VERIFIED official details/spec page available at this stage.
SRC-0075,ROBOT-0014,robot,ROBOT-0014,official_product,Official product/company page,https://keyirobot.com/,identity,2026-08-11,PARTIALLY_VERIFIED,VERIFIED official source for identity/product info.
SRC-0076,ROBOT-0014,robot,ROBOT-0014,official_spec,Official details/spec source,https://keyirobot.com/about-us,spec,2026-08-11,PARTIALLY_VERIFIED,VERIFIED official details/spec page available at this stage.
SRC-0077,ROBOT-0015,robot,ROBOT-0015,official_product,Official product/company page,https://keyirobot.com/products/deskmate,identity,2026-08-11,PARTIALLY_VERIFIED,VERIFIED official source for identity/product info.
SRC-0078,ROBOT-0015,robot,ROBOT-0015,official_spec,Official details/spec source,https://keyirobot.com/products/deskmate,spec,2026-08-11,PARTIALLY_VERIFIED,VERIFIED official details/spec page available at this stage.
SRC-0079,ROBOT-0016,robot,ROBOT-0016,official_product,Official product/company page,https://www.prnewswire.com/news-releases/lepro-unveils-lepro-ami-at-ces-2026-a-desktop-ai-companion-that-feels-in-the-room-302652207.html,identity,2026-08-11,PARTIALLY_VERIFIED,VERIFIED official source for identity/product info.
SRC-0080,ROBOT-0016,robot,ROBOT-0016,official_spec,Official details/spec source,https://www.prnewswire.com/news-releases/lepro-unveils-lepro-ami-at-ces-2026-a-desktop-ai-companion-that-feels-in-the-room-302652207.html,spec,2026-08-11,PARTIALLY_VERIFIED,VERIFIED official details/spec page available at this stage.
SRC-0081,ROBOT-0017,robot,ROBOT-0017,official_product,Official product/company page,https://ludensai.com/,identity,2026-08-11,PARTIALLY_VERIFIED,VERIFIED official source for identity/product info.
SRC-0082,ROBOT-0017,robot,ROBOT-0017,official_spec,Official details/spec source,https://ludensai.com/,spec,2026-08-11,PARTIALLY_VERIFIED,VERIFIED official details/spec page available at this stage.
SRC-0083,ROBOT-0019,robot,ROBOT-0019,official_product,Official product/company page,https://luvbotics.com/homepage/,identity,2026-08-11,PARTIALLY_VERIFIED,VERIFIED official source for identity/product info.
SRC-0084,ROBOT-0019,robot,ROBOT-0019,official_spec,Official details/spec source,https://luvbotics.com/homepage/,spec,2026-08-11,PARTIALLY_VERIFIED,VERIFIED official details/spec page available at this stage.
